detailed_pv_sub_reasons,Conclusion
DAMAGED_PRODUCT_RECEIVED,DAMAGED_PRODUCT_RECEIVED
STAINS_DIRT_PRODUCT,STAINS_DIRT_PRODUCT
MRP_TAG_DAMAGE,MRP_TAG_DAMAGE
STAINSSCRATCH_ON_PRODUCT,STAINSSCRATCH_ON_PRODUCT
MRP_TAG_MISSING,TAG MISSING
PRODUCT_BROKENTORN,PRODUCT_BROKENTORN
BODY_DAMAGED,BODY_DAMAGED
MANUFACTURERS_SEAL_TORN,SEAL ISSUE
MINOR_TEARDENTSCRATCHSTAINS_ON_PACKAGING,MINOR_TEARDENTSCRATCHSTAINS_ON_PACKAGING
MINOR_TEARDENTSCRATCHSTAINS_ON_PRODUCT,MINOR_TEARDENTSCRATCHSTAINS_ON_PRODUCT
PARTS_DAMAGED,PARTS_DAMAGED
MAJOR_PACKAGING_DAMAGE,MAJOR_PACKAGING_DAMAGE
MISSING_TAG,TAG MISSING
PRODUCT_TORN,PRODUCT_TORN
FABRIC_WRINKLED,FABRIC_WRINKLED
SIZE_MISSMATCH_BOX,SIZE_MISSMATCH_BOX
COMBO_ISSUE,COMBO_ISSUE
MAJOR_STAINS_ON_PRODUCT,MAJOR_STAINS_ON_PRODUCT
PLASTIC_COVER_DAMAGED,PLASTIC_COVER_DAMAGED
PRIMARY_PACKAGING_DAMAGED,PRIMARY_PACKAGING_DAMAGED
CRACKS_ON_BODY,CRACKS_ON_BODY
MAJOR_TEARDENTSCRATCHSTAINS_ON_PACKAGING,MAJOR_TEARDENTSCRATCHSTAINS_ON_PACKAGING
COLOR_ISSUES,COLOR_ISSUES
IMAGE_MISSINGMISMATCH,IMAGE_MISSINGMISMATCH
MRP_NOT_VISIBLE,MRP_NOT_VISIBLE
MISMATCH_SET_COMBOMISSIN,MISMATCH_SET_COMBOMISSIN
MANUFACTURERS_SEAL_MISSING,SEAL ISSUE
MAJOR_BOX_DAMAGE,MAJOR_PACKAGING_DAMAGE
MRP_TAG_MISMATCH,TAG MISMATCH
STICHING_IS_DAMAGED,STICHING_IS_DAMAGED
TORNHOLECUT_ON_FABRIC,TORNHOLECUT_ON_FABRIC
ORIGINAL_PACKAGING_DAMAGE,ORIGINAL_PACKAGING_DAMAGE
PRIMARY_PACKAGING_MISSSING,PACKAGING MISSING
MRP_TAG_DAMAGED,MRP_TAG_DAMAGE
STAINS_PRODUCT,MAJOR_STAINS_ON_PRODUCT
PRIMARY_PACKAGING_MISSING,PACKAGING MISSING
MRP_TAG_ISSUE,MRP_TAG_ISSUE
NO_PACKAGING,PACKAGING MISSING
MAIN_PRODUCT_MISSING,MAIN_PRODUCT_MISSING
SCRATCH_ON_THE_PRODUCT,SCRATCH_ON_THE_PRODUCT
BLADE_DAMAGE_CEILING,BLADE_DAMAGE_CEILING
SCRATCHBROKEN_PRODUCT,SCRATCHBROKEN_PRODUCT
STAINS_ON_PRODUCT,MAJOR_STAINS_ON_PRODUCT
SEAL_BROKEN_MISSING,SEAL ISSUE
MINOR_STAINS_ON_PRODUCT,MINOR_STAINS_ON_PRODUCT
SEAL_BROKEN,SEAL ISSUE
PRODUCT_DAMAGED_TORN_STITCHING_BUTTTON_SCRATCH_BROKEN,PRODUCT_DAMAGED_TORN_STITCHING_BUTTTON_SCRATCH_BROKEN
ORIGINAL_BOX_DAMAGED,ORIGINAL_PACKAGING_DAMAGE
MAJOR_TEARDENTSCRATCHSTAINS_ON_PRODUCT,MAJOR_TEARDENTSCRATCHSTAINS_ON_PRODUCT
NON_REPAIRABLE_MAJOR_ISSUE_ON_PACKAGING,NON_REPAIRABLE_MAJOR_ISSUE_ON_PACKAGING
PART_FRAME_STICK_GLASSDAMAGED_,PART_FRAME_STICK_GLASSDAMAGED_
SCREEN_DAMAGE,SCREEN_DAMAGE
PRODUCT_COMPLETELY_DESTROYED,PRODUCT_COMPLETELY_DESTROYED
MAJOR_SCRATCH_DENT,MAJOR_SCRATCH_DENT
ITEM_BROKEN_DAMAGED,ITEM_BROKEN_DAMAGED
SCRATCHSTAIN_ON_SCREEN_GUARD,SCRATCHSTAIN_ON_SCREEN_GUARD
BATTERY_SWOLLEN,BATTERY_SWOLLEN
MISMATCH_SET_COMBOMISSING,MISMATCH_SET_COMBOMISSING
KETTLE_BROKEN,KETTLE_BROKEN
WATCHCROWN_GLASS_STRAP_DAMAGED_SCRATCHED_MISSING,WATCHCROWN_GLASS_STRAP_DAMAGED_SCRATCHED_MISSING
SHRINK_WRAP_TORN,SHRINK_WRAP_TORN
WEAR_TEAR_ISSUES,WEAR_TEAR_ISSUES
DRIED_UP,DRIED_UP
SCRATCH_DENT_PRODUCT,SCRATCH_DENT_PRODUCT
LEAKING,LEAKING
PUMP_BROKEN,PUMP_BROKEN
MAJOR_DENT_SCRATCH_STAIN,MAJOR_DENT_SCRATCH_STAIN
PRODUCT_IN_COMBO_MISSING,PRODUCT_IN_COMBO_MISSING
MINOR_DENT_SCRATCH_STAIN,MINOR_DENT_SCRATCH_STAIN
CHAIN_HANDLE_STRAP_WHEEL_DAMAGED_MISSING,CHAIN_HANDLE_STRAP_WHEEL_DAMAGED_MISSING
BALL_UNCTURED_TORN,BALL_UNCTURED_TORN
STRAP_DAMAGED,STRAP_DAMAGED
SEAL_ISSUE,SEAL_ISSUE
PERFORMANCE_ISSUES,PERFORMANCE_ISSUES
PART_DAMAGED,PARTS_DAMAGED
MINOR_PACKAGING_DAMAGE,MINOR_PACKAGING_DAMAGE
GLASS_DAMAGED,GLASS_DAMAGED
MAJOR_DENT,MAJOR_DENT
MINOR_SCRATCH_DENT,MINOR_SCRATCH_DENT
DAMAGED_STEEL_PLATE,DAMAGED_STEEL_PLATE
IRREMOVABLE_WATER_HEATING_MARKS,IRREMOVABLE_WATER_HEATING_MARKS
BOX_PRODUCTSIZE_NOT_MATCHING,BOX_PRODUCTSIZE_NOT_MATCHING
PRODUCT_DAMAGE_TORN_STITCHING_BUTTON_SCRATCH_BROKEN,PRODUCT_DAMAGE_TORN_STITCHING_BUTTON_SCRATCH_BROKEN
NOT_FOR_SALE_MENTIONED,NOT_FOR_SALE_MENTIONED
TAG_SYSTEM_SAME,TAG_SYSTEM_SAME
WATCH_CASE_BROKEN,WATCH_CASE_BROKEN
PRODUCT_TAG_SAME,PRODUCT_TAG_SAME
MRP_MISMATCH,TAG MISMATCH
NEEDLE_DAMAGE,STRAP_DAMAGED
SIZE_ISSUE,SIZE_ISSUE
PREXO_PRODUCT_DAMAGED,PREXO_PRODUCT_DAMAGED
INK_DRIED_UP,INK_DRIED_UP
MINOR_AND_REPAIRABLE_BOX_DAMAGE,MINOR_AND_REPAIRABLE_BOX_DAMAGE
MAJOR_PERFORATED_HOLE,MAJOR_PERFORATED_HOLE
SEAL_TORN,SEAL ISSUE
CAMERA_DAMAGED,CAMERA_DAMAGED
DENTS_ON_CABINET_BODY,DENTS_ON_CABINET_BODY
OD434148694876176100 434182009459455100000,OD434148694876176100 434182009459455100000
BLADE_DAMAGE_MISSING,BLADE_DAMAGE_MISSING
COVER_TORN,COVER_TORN
COLOR_DIFFERENT_FROM_THE_IMAGE,COLOR_DIFFERENT_FROM_THE_IMAGE
USB_DONGLE_MISSING,USB_DONGLE_MISSING
BUTTONS_DAMAGED,BUTTONS_DAMAGED
SPECIFICATION_MISMATCHMISSING,SPECIFICATION_MISMATCHMISSING
SPECIFICATION_ISSUES,SPECIFICATION_ISSUES
STRAP_MISSING,STRAP_MISSING
BRAND_TAG_MISSING,TAG MISSING
PRODUCT_SYSTEM_SAME,PRODUCT_SYSTEM_SAME
KEYBOARD_BODY_DAMAGED,KEYBOARD_BODY_DAMAGED
SCREEN_DAMAGED_CRACKED,SCREEN_DAMAGED_CRACKED
DENT_SCRATCH,DENT_SCRATCH
WIRE_DAMAGED,STRAP_DAMAGED
PORT_DAMAGED,STRAP_DAMAGED
BOX_DAMAGED,BOX_DAMAGED
HOLE_CUT_ON_CONTAINER_PACKET,HOLE_CUT_ON_CONTAINER_PACKET
PRODUCT_USED,PRODUCT_USED
PLASTIC_BODY_BROKEN,PLASTIC_BODY_BROKEN
NIB_NOT_SMOOTH,NIB_NOT_SMOOTH
PROCESSOR_BROKEN,PROCESSOR_BROKEN
OUTER_BODY_DAMAGED,OUTER_BODY_DAMAGED
LATCH_MISSING,STRAP_MISSING
EKL_TAPE_ISSUE,EKL_TAPE_ISSUE
TAG_ISSUES,TAG_ISSUES
SCRATCHES_ON_BODY,SCRATCHES_ON_BODY
BODY_BROKEN,BODY_BROKEN
ITEM_NOT_WORKING,ITEM_NOT_WORKING
CATRDIGE_PIN_BROKEN,CATRDIGE_PIN_BROKEN
MINOR_DENT,MINOR_DENT
NOT_PLAYING,NOT_PLAYING
KEYS_BROKEN,KEYS_BROKEN
STAINS_OR_DIRT_ON_PRODUCT,STAINS_OR_DIRT_ON_PRODUCT
ADAPTER_MISSING,STRAP_MISSING
PARTS_MISSING_DAMAGED,PARTS_MISSING_DAMAGED
RUST,RUST
MINOR_CRACK,MINOR_CRACK
COMPLETELY_DAMAGED,COMPLETELY_DAMAGED
NOT_SWITCHING_ON,NOT_SWITCHING_ON
SYNTHETIC_COVER_TORNMISSING,SYNTHETIC_COVER_TORNMISSING
POLYTHENE_COVER_MISSINGTORN,POLYTHENE_COVER_MISSINGTORN
HANDLE_DAMAGE,STRAP_DAMAGED
BUTTON_DAMAGED,STRAP_DAMAGED
PORTS_DAMAGED,PORTS_DAMAGED
PRODUCT_TAG_MISMATCH,TAG MISMATCH
MISMATCH_SETCOMBO,MISMATCH_SETCOMBO
PRODUCT_MISSING,PRODUCT_MISSING
MAJOR_BODY_DAMAGE,MAJOR_BODY_DAMAGE
BRAND_LOGO_DAMAGED,BRAND_LOGO_DAMAGED
PAPER_TRAY_DAMAGE,PAPER_TRAY_DAMAGE
DOA_AVAILABLE,DOA_AVAILABLE
PERFORMANCE_ISSUE,PERFORMANCE_ISSUES
ROD_MISSING,STRAP_MISSING
NOT_WORKING,NOT_WORKING
PRODUCT_DIFFERENT_TAG_SYSTEM_SAME,PRODUCT_DIFFERENT_TAG_SYSTEM_SAME
DISPLAY_DAMAGED,SCREEN_DAMAGE
